Id,Category
1 , 7
2 , 4
3 , 9
4 , 1
5 , 4
6 , 6
7 , 7
8 , 2
9 , 5
10 , 5
11 , 2
12 , 1
13 , 4
14 , 1
15 , 8
16 , 4
17 , 5
18 , 3
19 , 1
20 , 7
21 , 7
22 , 6
23 , 4
24 , 4
25 , 3
26 , 3
27 , 2
28 , 8
29 , 3
30 , 4
31 , 3
32 , 7
33 , 4
34 , 2
35 , 10
36 , 3
37 , 5
38 , 8
39 , 3
40 , 4
41 , 4
42 , 10
43 , 1
44 , 7
45 , 7
46 , 10
47 , 2
48 , 3
49 , 4
50 , 3
51 , 4
52 , 4
53 , 1
54 , 1
55 , 3
56 , 9
57 , 7
58 , 8
59 , 3
60 , 1
61 , 1
62 , 6
63 , 2
64 , 8
65 , 10
66 , 7
67 , 2
68 , 1
69 , 1
70 , 5
71 , 3
72 , 2
73 , 7
74 , 4
75 , 3
76 , 8
77 , 2
78 , 4
79 , 4
80 , 2
81 , 4
82 , 7
83 , 10
84 , 4
85 , 1
86 , 9
87 , 1
88 , 1
89 , 4
90 , 8
91 , 7
92 , 4
93 , 2
94 , 2
95 , 8
96 , 2
97 , 8
98 , 7
99 , 9
100 , 6
101 , 9
102 , 9
103 , 1
104 , 3
105 , 9
106 , 8
107 , 2
108 , 3
109 , 4
110 , 5
111 , 4
112 , 3
113 , 6
114 , 10
115 , 3
116 , 2
117 , 2
118 , 5
119 , 9
120 , 2
121 , 5
122 , 2
123 , 9
124 , 6
125 , 3
126 , 8
127 , 10
128 , 2
129 , 1
130 , 4
131 , 7
132 , 3
133 , 6
134 , 2
135 , 4
136 , 5
137 , 1
138 , 2
139 , 5
140 , 8
141 , 2
142 , 8
143 , 2
144 , 9
145 , 5
146 , 5
147 , 4
148 , 10
149 , 3
150 , 4
151 , 3
152 , 1
153 , 6
154 , 4
155 , 1
156 , 2
157 , 8
158 , 1
159 , 3
160 , 9
161 , 4
162 , 8
163 , 4
164 , 4
165 , 6
166 , 3
167 , 10
168 , 5
169 , 1
170 , 5
171 , 6
172 , 5
173 , 4
174 , 2
175 , 10
176 , 3
177 , 4
178 , 4
179 , 2
180 , 3
181 , 1
182 , 8
183 , 9
184 , 2
185 , 9
186 , 4
187 , 2
188 , 3
189 , 4
190 , 10
191 , 6
192 , 3
193 , 9
194 , 3
195 , 9
196 , 7
197 , 9
198 , 10
199 , 2
200 , 7
201 , 1
202 , 8
203 , 9
204 , 7
205 , 6
206 , 2
207 , 3
208 , 5
209 , 3
210 , 4
211 , 7
212 , 2
213 , 9
214 , 4
215 , 8
216 , 4
217 , 1
218 , 4
219 , 2
220 , 2
221 , 1
222 , 1
223 , 2
224 , 5
225 , 1
226 , 1
227 , 5
228 , 8
229 , 3
230 , 9
231 , 8
232 , 3
233 , 10
234 , 4
235 , 10
236 , 6
237 , 6
238 , 9
239 , 2
240 , 10
241 , 9
242 , 1
243 , 9
244 , 10
245 , 1
246 , 6
247 , 2
248 , 3
249 , 1
250 , 8
251 , 9
252 , 1
253 , 10
254 , 7
255 , 6
256 , 7
257 , 4
258 , 8
259 , 8
260 , 6
261 , 8
262 , 6
263 , 2
264 , 10
265 , 3
266 , 2
267 , 3
268 , 1
269 , 5
270 , 8
271 , 2
272 , 3
273 , 2
274 , 9
275 , 2
276 , 2
277 , 10
278 , 1
279 , 10
280 , 1
281 , 5
282 , 2
283 , 9
284 , 1
285 , 1
286 , 3
287 , 10
288 , 1
289 , 10
290 , 2
291 , 10
292 , 9
293 , 4
294 , 6
295 , 5
296 , 4
297 , 5
298 , 3
299 , 10
300 , 7
301 , 1
302 , 10
303 , 4
304 , 9
305 , 8
306 , 4
307 , 1
308 , 2
309 , 8
310 , 8
311 , 8
312 , 5
313 , 1
314 , 3
315 , 6
316 , 1
317 , 2
318 , 3
319 , 10
320 , 4
321 , 9
322 , 2
323 , 6
324 , 8
325 , 4
326 , 4
327 , 8
328 , 7
329 , 1
330 , 10
331 , 8
332 , 2
333 , 3
334 , 8
335 , 9
336 , 2
337 , 2
338 , 7
339 , 3
340 , 5
341 , 3
342 , 7
343 , 7
344 , 4
345 , 5
346 , 2
347 , 10
348 , 10
349 , 9
350 , 6
351 , 8
352 , 6
353 , 3
354 , 2
355 , 8
356 , 5
357 , 8
358 , 8
359 , 4
360 , 1
361 , 5
362 , 2
363 , 1
364 , 6
365 , 6
366 , 4
367 , 9
368 , 6
369 , 2
370 , 3
371 , 4
372 , 10
373 , 6
374 , 4
375 , 9
376 , 9
377 , 3
378 , 8
379 , 6
380 , 6
381 , 3
382 , 3
383 , 5
384 , 7
385 , 5
386 , 6
387 , 4
388 , 4
389 , 10
390 , 1
391 , 3
392 , 5
393 , 1
394 , 5
395 , 4
396 , 7
397 , 4
398 , 1
399 , 2
400 , 1
401 , 5
402 , 2
403 , 3
404 , 6
405 , 2
406 , 1
407 , 10
408 , 3
409 , 8
410 , 3
411 , 9
412 , 8
413 , 2
414 , 9
415 , 1
416 , 8
417 , 4
418 , 3
419 , 1
420 , 10
421 , 7
422 , 4
423 , 1
424 , 2
425 , 3
426 , 7
427 , 3
428 , 9
429 , 6
430 , 10
431 , 9
432 , 3
433 , 5
434 , 4
435 , 7
436 , 4
437 , 2
438 , 3
439 , 10
440 , 3
441 , 8
442 , 1
443 , 2
444 , 7
445 , 1
446 , 2
447 , 8
448 , 6
449 , 3
