Id,Category
1 , 7
2 , 7
3 , 9
4 , 9
5 , 4
6 , 6
7 , 2
8 , 2
9 , 5
10 , 5
11 , 2
12 , 1
13 , 7
14 , 1
15 , 8
16 , 4
17 , 5
18 , 10
19 , 1
20 , 7
21 , 7
22 , 4
23 , 6
24 , 4
25 , 3
26 , 3
27 , 2
28 , 8
29 , 3
30 , 4
31 , 1
32 , 7
33 , 4
34 , 2
35 , 10
36 , 3
37 , 5
38 , 8
39 , 3
40 , 6
41 , 2
42 , 10
43 , 1
44 , 7
45 , 5
46 , 10
47 , 7
48 , 2
49 , 4
50 , 3
51 , 4
52 , 4
53 , 1
54 , 1
55 , 9
56 , 9
57 , 7
58 , 8
59 , 3
60 , 1
61 , 1
62 , 6
63 , 1
64 , 8
65 , 10
66 , 7
67 , 6
68 , 1
69 , 1
70 , 5
71 , 1
72 , 2
73 , 8
74 , 4
75 , 3
76 , 8
77 , 2
78 , 6
79 , 4
80 , 2
81 , 4
82 , 7
83 , 10
84 , 4
85 , 1
86 , 5
87 , 1
88 , 1
89 , 5
90 , 8
91 , 7
92 , 2
93 , 2
94 , 6
95 , 8
96 , 2
97 , 5
98 , 7
99 , 9
100 , 6
101 , 9
102 , 5
103 , 1
104 , 3
105 , 9
106 , 8
107 , 2
108 , 3
109 , 4
110 , 5
111 , 4
112 , 3
113 , 4
114 , 10
115 , 3
116 , 1
117 , 2
118 , 5
119 , 9
120 , 2
121 , 8
122 , 7
123 , 9
124 , 6
125 , 3
126 , 8
127 , 10
128 , 6
129 , 1
130 , 4
131 , 7
132 , 3
133 , 6
134 , 7
135 , 8
136 , 5
137 , 1
138 , 2
139 , 7
140 , 8
141 , 6
142 , 8
143 , 2
144 , 5
145 , 8
146 , 4
147 , 4
148 , 10
149 , 7
150 , 4
151 , 3
152 , 1
153 , 8
154 , 5
155 , 1
156 , 2
157 , 8
158 , 1
159 , 3
160 , 9
161 , 8
162 , 2
163 , 6
164 , 4
165 , 7
166 , 3
167 , 10
168 , 5
169 , 1
170 , 5
171 , 6
172 , 5
173 , 4
174 , 7
175 , 10
176 , 3
177 , 4
178 , 4
179 , 2
180 , 3
181 , 1
182 , 6
183 , 9
184 , 2
185 , 9
186 , 10
187 , 4
188 , 3
189 , 10
190 , 10
191 , 7
192 , 3
193 , 9
194 , 9
195 , 9
196 , 7
197 , 9
198 , 10
199 , 2
200 , 4
201 , 1
202 , 8
203 , 9
204 , 7
205 , 6
206 , 2
207 , 10
208 , 5
209 , 3
210 , 7
211 , 7
212 , 8
213 , 9
214 , 4
215 , 5
216 , 4
217 , 10
218 , 6
219 , 2
220 , 2
221 , 1
222 , 1
223 , 4
