Id,Category
1 , 7
2 , 5
3 , 6
4 , 1
5 , 4
6 , 2
7 , 3
8 , 4
9 , 5
10 , 5
11 , 2
12 , 1
13 , 4
14 , 1
15 , 8
16 , 4
17 , 5
18 , 10
19 , 1
20 , 7
21 , 8
22 , 2
23 , 4
24 , 5
25 , 3
26 , 3
27 , 2
28 , 8
29 , 4
30 , 2
31 , 1
32 , 5
33 , 4
34 , 5
35 , 10
36 , 10
37 , 5
38 , 8
39 , 3
40 , 8
41 , 2
42 , 9
43 , 1
44 , 7
45 , 1
46 , 10
47 , 2
48 , 3
49 , 4
50 , 3
51 , 4
52 , 5
53 , 1
54 , 1
55 , 3
56 , 9
57 , 7
58 , 8
59 , 3
60 , 10
61 , 1
62 , 8
63 , 7
64 , 5
65 , 10
66 , 7
67 , 8
68 , 1
69 , 1
70 , 5
71 , 1
72 , 2
73 , 7
74 , 7
75 , 3
76 , 8
77 , 8
78 , 4
79 , 2
80 , 7
81 , 6
82 , 4
83 , 10
84 , 5
85 , 1
86 , 2
87 , 1
88 , 1
89 , 10
90 , 5
91 , 7
92 , 1
93 , 10
94 , 7
95 , 2
96 , 8
97 , 5
98 , 10
99 , 9
100 , 6
101 , 9
102 , 9
103 , 1
104 , 3
105 , 9
106 , 8
107 , 6
108 , 3
109 , 4
110 , 5
111 , 7
112 , 3
113 , 6
114 , 7
115 , 1
116 , 2
117 , 1
118 , 5
119 , 9
120 , 2
121 , 6
122 , 2
123 , 9
124 , 2
125 , 3
126 , 8
127 , 10
128 , 4
129 , 3
130 , 4
131 , 7
132 , 3
133 , 6
134 , 4
135 , 5
136 , 6
137 , 1
138 , 2
139 , 5
140 , 5
141 , 2
142 , 8
143 , 6
144 , 1
145 , 7
146 , 5
147 , 4
148 , 10
149 , 7
150 , 5
151 , 2
152 , 1
153 , 2
154 , 2
155 , 1
156 , 2
157 , 8
158 , 2
159 , 3
160 , 9
161 , 5
162 , 4
163 , 2
164 , 5
165 , 7
166 , 3
167 , 10
168 , 5
169 , 1
170 , 5
171 , 8
172 , 5
173 , 4
174 , 7
175 , 10
176 , 3
177 , 8
178 , 4
179 , 5
180 , 3
181 , 1
182 , 5
183 , 9
184 , 2
185 , 9
186 , 7
187 , 6
188 , 1
189 , 4
190 , 10
191 , 4
192 , 10
193 , 9
194 , 3
195 , 9
196 , 7
197 , 1
198 , 10
199 , 2
200 , 7
201 , 1
202 , 8
203 , 1
204 , 9
205 , 8
206 , 2
207 , 3
208 , 5
209 , 3
210 , 7
211 , 7
212 , 5
213 , 9
214 , 4
215 , 5
216 , 2
217 , 1
218 , 4
219 , 5
220 , 5
221 , 1
222 , 3
223 , 2
224 , 5
225 , 1
226 , 1
227 , 8
228 , 8
229 , 3
230 , 9
231 , 8
232 , 3
233 , 1
234 , 5
235 , 7
236 , 8
237 , 7
238 , 1
239 , 2
240 , 10
241 , 9
242 , 1
243 , 9
244 , 10
245 , 1
246 , 8
247 , 2
248 , 3
249 , 1
250 , 5
251 , 1
252 , 1
253 , 10
254 , 7
255 , 8
256 , 7
257 , 4
258 , 8
259 , 8
260 , 6
261 , 5
262 , 6
263 , 2
264 , 10
265 , 3
266 , 7
267 , 10
268 , 3
269 , 7
270 , 5
271 , 7
272 , 5
273 , 6
274 , 1
275 , 2
276 , 2
277 , 4
278 , 1
279 , 3
280 , 1
281 , 8
282 , 5
283 , 1
284 , 10
285 , 1
286 , 10
287 , 10
288 , 1
289 , 10
290 , 2
291 , 1
292 , 9
293 , 8
294 , 2
295 , 5
296 , 5
297 , 5
298 , 10
299 , 10
300 , 7
301 , 9
302 , 10
303 , 4
304 , 9
305 , 5
306 , 4
307 , 1
308 , 2
309 , 5
310 , 6
311 , 8
312 , 5
313 , 5
314 , 3
315 , 5
316 , 1
317 , 4
318 , 3
319 , 10
320 , 5
321 , 10
322 , 5
323 , 6
324 , 6
325 , 8
326 , 5
327 , 6
328 , 7
329 , 1
330 , 10
331 , 8
332 , 5
333 , 1
334 , 2
335 , 1
336 , 2
337 , 4
338 , 10
339 , 3
340 , 1
341 , 10
342 , 3
343 , 7
344 , 6
345 , 5
346 , 6
347 , 10
348 , 10
349 , 9
350 , 2
351 , 8
352 , 6
353 , 3
354 , 8
355 , 8
356 , 8
357 , 2
358 , 7
359 , 4
360 , 1
361 , 5
362 , 4
363 , 1
364 , 5
365 , 5
366 , 8
367 , 1
368 , 5
369 , 3
370 , 3
371 , 2
372 , 1
373 , 6
374 , 2
375 , 9
376 , 9
377 , 3
378 , 8
379 , 2
380 , 6
381 , 10
382 , 3
383 , 2
384 , 8
385 , 5
386 , 4
387 , 4
388 , 2
389 , 1
390 , 1
391 , 3
392 , 5
393 , 1
394 , 5
395 , 5
396 , 7
397 , 10
398 , 1
399 , 2
400 , 1
401 , 5
402 , 5
403 , 10
404 , 6
405 , 1
406 , 1
407 , 10
408 , 3
409 , 8
410 , 3
411 , 1
412 , 8
413 , 7
414 , 9
415 , 1
416 , 8
417 , 4
418 , 3
419 , 1
420 , 9
421 , 6
422 , 5
423 , 1
424 , 2
425 , 1
426 , 7
